id;title;type;release_year;age_certification;runtime;genres;production_countries;seasons;imdb_id;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
tm132164;Bill Hicks: Sane Man;MOVIE;1989;R;80;['comedy'];['US'];;;;;3.377;7.5
tm446654;Mujrim;MOVIE;1989;;162;['drama', 'action', 'crime'];['IN'];;tt0097926;5.4;197.0;1.418;6.0
tm348735;Aakhri Adaalat;MOVIE;1988;;148;['action', 'crime', 'thriller'];['IN'];;tt0177505;5.1;92.0;1.374;5.0
tm151332;Alexandria, Again and Forever;MOVIE;1989;;105;['drama'];['FR', 'EG'];;tt0099858;6.5;658.0;817;5.3
tm342996;Duniya;MOVIE;1984;;170;['action', 'drama'];['IN'];;tt0301231;6.3;245.0;1.394;
tm24110;Strange Voices;MOVIE;1987;;100;['drama'];['US'];;tt0094052;6.3;360.0;2.76;6.8
tm371359;Jaal;MOVIE;1986;;159;['action', 'drama', 'thriller'];['IN'];;tt0239495;5.2;125.0;3.366;5.0
tm55091;Quiet Victory: The Charlie Wedemeyer Story;MOVIE;1988;;100;['drama'];['US'];;tt0095945;7.2;144.0;2.246;8.0
ts63001;High Risk;SHOW;1988;TV-PG;50;['comedy'];['US'];1.0;tt5944220;3.8;6.0;1.4;
tm311264;Muqaddar Ka Faisla;MOVIE;1987;;172;['action', 'comedy', 'drama', 'family'];['IN'];;tt0239682;4.8;69.0;2.236;
tm411457;Pyar Ke Do Pal;MOVIE;1986;;125;['drama', 'action'];['IN'];;tt0358053;6.1;66.0;1.756;
tm172482;Sohni Mahiwal;MOVIE;1984;;160;['romance', 'drama', 'action'];['IN'];;tt0170148;6.1;297.0;6.052;5.8
tm419052;Ek Jaan Hain Hum;MOVIE;1983;;151;['family', 'romance'];['IN'];;tt0379272;6.3;70.0;986;7.0
tm47673;An Egyptian Story;MOVIE;1982;;129;['drama', 'fantasy'];['EG'];;tt0084042;7.3;1126.0;1.77;6.7
tm52274;The Little Wars;MOVIE;1982;;108;['war', 'drama', 'european'];['FR', 'LB'];;tt0084492;6.3;152.0;1.956;5.5
tm147829;Unspeakable Acts;MOVIE;1990;;100;['drama'];['US'];;tt0100848;6.1;464.0;2.075;5.3
ts20981;Survivor;SHOW;2000;TV-PG;48;['reality'];['US'];42.0;tt0239195;7.4;24687.0;54.19;7.4
tm107744;Mission: Impossible;MOVIE;1996;PG-13;110;['thriller', 'action'];['US'];;tt0117060;7.1;420673.0;41.115;6.9
ts22176;Stargate SG-1;SHOW;1997;TV-PG;44;['scifi', 'drama', 'action'];['CA', 'US'];10.0;tt0118480;8.4;90196.0;88.851;8.3
tm15897;Se7en;MOVIE;1995;R;127;['crime', 'thriller', 'drama'];['US'];;tt0114369;8.6;1606270.0;51.633;8.352
ts21223;Pokémon;SHOW;1997;TV-Y7;22;['action', 'scifi', 'animation', 'comedy', 'fantasy', 'family'];['JP'];25.0;tt14053732;7.4;198.0;115.356;7.633
tm191013;Boogie Nights;MOVIE;1997;R;156;['drama'];['US'];;tt0118749;7.9;261563.0;20.436;7.6
tm122434;Forrest Gump;MOVIE;1994;PG-13;142;['drama', 'romance'];['US'];;tt0109830;8.8;2021343.0;63.449;8.478
tm25947;Snatch;MOVIE;2000;R;103;['crime', 'comedy'];['US', 'GB'];;tt0208092;8.3;841435.0;25.203;7.8
tm43808;The Talented Mr. Ripley;MOVIE;1999;R;139;['thriller', 'drama', 'crime'];['US'];;tt0134119;7.4;207524.0;13.78;7.2
ts20339;One Piece;SHOW;1999;TV-14;23;['animation', 'action', 'comedy', 'drama', 'fantasy'];['JP'];21.0;tt0388629;8.8;117129.0;143.457;8.764
ts5145;The Challenge;SHOW;1998;TV-14;40;['reality', 'comedy', 'drama', 'scifi'];['US'];37.0;tt6274074;7.8;3362.0;18.075;7.7
tm191110;Titanic;MOVIE;1997;PG-13;194;['drama', 'romance'];['US'];;tt0120338;7.9;1146825.0;155.683;7.878
ts34435;Cowboy Bebop;SHOW;1998;TV-14;25;['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller'];['JP'];1.0;tt0213338;8.9;115448.0;35.402;8.522
tm192037;Starship Troopers;MOVIE;1997;R;129;['scifi', 'action', 'thriller'];['US'];;tt0120201;7.3;291452.0;29.5;6.993
tm27395;Mission: Impossible II;MOVIE;2000;PG-13;123;['thriller', 'action'];['US'];;tt0120755;6.1;337987.0;29.392;6.1
tm113513;Dumb and Dumber;MOVIE;1994;PG-13;107;['comedy'];['US'];;tt0109686;7.3;379999.0;31.852;6.6
ts20983;Neon Genesis Evangelion;SHOW;1995;TV-14;24;['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller'];['JP'];1.0;tt0112159;8.5;66629.0;49.27;8.637
tm192405;Gattaca;MOVIE;1997;PG-13;106;['scifi', 'thriller', 'romance', 'drama'];['US'];;tt0119177;7.8;300701.0;17.789;7.553
tm116655;Léon: The Professional;MOVIE;1994;R;111;['crime', 'drama', 'action', 'thriller', 'european'];['US', 'FR'];;tt0110413;8.5;1137357.0;51.406;8.323
